Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureToSalaryRatio,NoPromotionFlag,OvertimeRiskWeight,SatisfactionScore,CareerStagnation,LowIncomeFlag,ManagerRisk,RiskScore,Attrition_Actual,HighRiskFlag,ReplacementCostUSD
41,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,1.0011680292005392,0,2,2.3333333333333335,0.4444444444444444,0,0,0.9736796536796536,1,1,107874.0
49,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,1.949317738411439,0,0,3.0,0.6363636363636364,0,0,0.0,0,0,92340.0
37,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.0,0,2,3.0,0.0,1,1,0.9736796536796536,1,1,37620.0
33,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,2.7500859392402592,1,2,3.3333333333333335,0.7777777777777778,1,1,0.550886574725584,0,1,52362.0
27,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0.5767012685764991,0,0,2.3333333333333335,0.2857142857142857,0,0,0.6166619757951027,0,1,62424.0
32,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,2.2816166876526673,1,0,3.6666666666666665,0.7777777777777778,0,0,0.1588286754622405,0,0,55224.0
59,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.3745318350657184,0,2,1.6666666666666667,0.0,1,1,0.5534873574634673,0,1,48060.0
30,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0.3713330856400545,0,0,3.0,0.0,1,1,0.35261669673609974,0,0,48474.0
38,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0.9447826998798254,0,0,3.0,0.6363636363636364,0,0,0.09923067409953326,0,0,171468.0
36,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,1.3366431160327203,1,0,2.6666666666666665,0.3888888888888889,0,0,0.4871177944862155,0,0,94266.0
35,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,2.0610057699666093,0,0,2.0,0.5714285714285714,1,0,0.3212171334271117,0,0,43668.0
29,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,2.146434533234812,0,2,3.6666666666666665,0.45454545454545453,0,0,0.34377352440455533,0,0,75474.0
31,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,1.7176228094408714,1,0,2.6666666666666665,0.3333333333333333,0,0,0.39369932909631744,0,0,52398.0
34,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0.7515971436484039,0,0,3.0,0.5,1,0,0.24488011695906434,0,0,47898.0
28,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,1.9723865867986259,0,2,2.6666666666666665,0.2857142857142857,1,0,0.9916666666666668,1,1,36504.0
29,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,1.0020040079156307,1,0,2.0,0.8181818181818182,0,0,0.23172222222222222,0,0,179640.0
32,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,1.8192844142452138,0,2,2.3333333333333335,0.25,0,0,0.31959770022873113,0,0,59364.0
22,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0.34071550243927917,0,2,3.3333333333333335,0.0,0,1,0.5341766180156273,0,1,52830.0
53,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,1.620535424799343,1,0,2.6666666666666665,0.25,0,0,0.09459299294011297,0,0,277686.0
38,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0.760649087028233,0,2,3.6666666666666665,0.2857142857142857,0,0,0.50140350877193,0,0,70992.0
24,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0.9972575415115289,0,0,2.6666666666666665,0.3333333333333333,0,0,0.02972972972972973,0,0,72198.0
36,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,1.4675667738574796,0,0,2.0,0.2727272727272727,0,0,0.5872502110892205,1,1,61326.0
34,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,1.0005002500416458,0,0,2.0,0.42857142857142855,0,0,0.12842301466620887,0,0,215892.0
21,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0.0,0,0,3.6666666666666665,0.0,1,1,0.514542036910458,0,1,22176.0
